descriptors,diet_habitat,coastal_Y/N/M,notes
Sooty-headed,,,
Souimanga,,,
South,,,
Southern,,,
Spangled,,,
Spanish,,,
Sparkling,,,
Sparkling-tailed,,,
Sparrow,,,
Speckle-breasted,,,
Speckle-faced,,,
Speckled,,,
Spectacled,,,
Speke's,,,
Spiny-cheeked,,,
Spix's,,,
Splendid,,,
Spoon-billed,,,
Spot-backed,,,
Spot-billed,,,
Spot-breasted,,,
Spot-crowned,,,
Spot-flanked,,,
Spot-throated,,,
Spot-winged,,,
Spotless,,,
Spotted,,,
Sprague's,,,
Spruce,Y,N,diet or species association
Spur-winged,,,
Squacco,,,
Squamate,,,
Square-tailed,,,
Squatter,,,
Squirrel,,,
Star-throated,,,
Steamer,,,
Steely-vented,,,
Steere's,,,
Steller's,,,
Steppe,Y,N,habitat
Stilt,,,
Stock,,,
Stolid,,,
Stork-billed,,,
Stout-billed,,,
Straight-billed,,,
Straneck's,,,
Straw-necked,,,
Streak-backed,,,
Streak-breasted,,,
Streak-capped,,,
Streak-chested,,,
Streak-fronted,,,
Streak-headed,,,
Streak-necked,,,
Streak-throated,,,
Streaked,,,
Streaky,,,
Streaky-headed,,,
Streamer-tailed,,,
Striated,,,
Strickland's,,,
Striolated,,,
Stripe-backed,,,
Stripe-breasted,,,
Stripe-cheeked,,,
Stripe-chested,,,
Stripe-crowned,,,
Stripe-faced,,,
Stripe-headed,,,
Stripe-necked,,,
Stripe-sided,,,
Stripe-throated,,,
Striped,,,
Strong-billed,,,
Stubble,,,
Styan's,,,
Stygian,,,
Subalpine,Y,M,"habitat, probably not coastal but marked as maybe to be conservative"
Subtropical,Y,M,"habitat, probably not coastal but marked as maybe to be conservative"
Sudan,,,
Suiriri,,,
Sulphur-bearded,,,
Sulphur-bellied,,,
Sulphur-breasted,,,
Sulphur-crested,,,
Sulphur-rumped,,,
Sulphur-throated,,,
Sulphury,,,
Sultan,,,
Summer,,,
Sunda,,,
Superb,,,
Superciliaried,,,
Superciliated,,,
Surf,Y,Y,habitat
Surucua,,,
Swainson's,,,
Swallow,,,
Swallow-tailed,,,
Swallow-winged,,,
Swamp,Y,M,habitat
Swan,,,
Swee,,,
Swift,,,
Swinhoe's,,,
Sword-billed,,,
Sykes's,,,
Syrian,,,
Tacazze,,,
Taiga,Y,N,habitat
Taiwan,,,
Tambourine,,,
Tanimbar,,,
Tasmanian,,,
Tataupa,,,
Tawny,,,
Tawny-bellied,,,
Tawny-capped,,,
Tawny-crested,,,
Tawny-crowned,,,
Tawny-faced,,,
Tawny-flanked,,,
Tawny-headed,,,
Tawny-shouldered,,,
Temminck's,,,
Tennessee,,,
Terek,,,
Terrestrial,Y,N,habitat
Thekla's,,,
Thick,,,
Thick-billed,,,
Thicket,,,
Thorn-tailed,,,
Three-banded,,,
Three-striped,,,
Three-toed,,,
Thrush,,,
Thrush-like,,,
Tickell's,,,
Ticking,,,
Tiger,Y,N,species association
Tit,,,
Tit-like,,,
Toco,,,
Tody,,,
Topknot,,,
Torrent,Y,M,habitat- fast moving stream /water 
Torresian,,,
Tourmaline,,,
Townsend's,,,
Transvolcanic,,,
Tree,Y,N,habitat
Tricolored,,,
Trilling,,,
Trinidad,,,
Tristram's,,,
Tropical,Y,M,habitat
Trumpeter,,,
Tufted,,,
Tui,,,
Tumbes,,,
Tundra,Y,M,habitat
Turkey,,,
Turquoise,,,
Turquoise-browed,,,
Turquoise-fronted,,,
Turtle,Y,M,species association
Tuxtla,,,
Two-banded,,,
Two-barred,,,
Tyrant,,,
Tyrian,,,
Tytler's,,,
Ultramarine,,,
Undulated,,,
Unicolored,,,
Uniform,,,
Upcher's,,,
Upland,Y,N,habitat
Ural,,,
Urubamba,,,
Van,,,
Variable,,,
Varied,,,
Variegated,,,
Varzea,,,
Vasa,,,
Vaux's,,,
Velvet,,,
Velvet-fronted,,,
Venezuelan,,,
Verditer,,,
Vermilion,,,
Vernal,,,
Verreaux's,,,
Versicolored,,,
Vervain,,,
Vesper,,,
Victoria's,,,
Victorin's,,,
Vieillot's,,,
Vigors's,,,
Village,,,
Vinous-throated,,,
Violaceous,,,
Violet,,,
Violet-backed,,,
Violet-bellied,,,
Violet-capped,,,
Violet-crowned,,,
Violet-fronted,,,
Violet-green,,,
Violet-headed,,,
Violet-throated,,,
Virginia,,,
Virginia's,,,
Wagtail,,,
Wahlberg's,,,
Wandering,,,
Warbling,,,
Ward's,,,
Water,Y,M,habitat
Wattle,,,
Wattled,,,
Wedge-billed,,,
Wedge-tailed,,,
Welcome,,,
West,,,
Western,,,
Weyns's,,,
Whiskered,,,
Whistling,,,
White,,,
White-backed,,,
White-banded,,,
White-barred,,,
White-bearded,,,
White-bellied,,,
White-breasted,,,
White-browed,,,
White-capped,,,
White-cheeked,,,
White-chested,,,
White-chinned,,,
White-collared,,,
White-crested,,,
White-crowned,,,
White-eared,,,
White-edged,,,
White-eyed,,,
White-faced,,,
White-flanked,,,
White-fringed,,,
White-fronted,,,
White-gaped,,,
White-headed,,,
White-lined,,,
White-lored,,,
White-naped,,,
White-necked,,,
White-nest,,,
White-plumed,,,
White-quilled,,,
White-ruffed,,,
White-rumped,,,
White-shouldered,,,
White-sided,,,
White-spectacled,,,
White-spotted,,,
White-starred,,,
White-striped,,,
White-tailed,,,
White-thighed,,,
White-throated,,,
White-tipped,,,
White-tufted,,,
White-vented,,,
White-wedged,,,
White-whiskered,,,
White-winged,,,
White's,,,
Whitehead's,,,
Whooper,,,
Whooping,,,
Wild,,,
Williamson's,,,
Willow,Y,N,habitat or diet
Wilson's,,,
Winding,,,
Wine-throated,,,
Wing-banded,,,
Wing-barred,,,
Winter,,,
Wire-crested,,,
Wire-tailed,,,
Wompoo,,,
Wonga,,,
Wood,Y,N,habitat 
Woodchat,,,
Woodhouse's,,,
Woodland,Y,N,habitat 
Worm-eating,Y,M,diet
Wren,,,
Wren-like,,,
Yelkouan,,,
Yellow,,,
Yellow-backed,,,
Yellow-bellied,,,
Yellow-billed,,,
Yellow-breasted,,,
Yellow-browed,,,
Yellow-cheeked,,,
Yellow-chevroned,,,
Yellow-chinned,,,
Yellow-crested,,,
Yellow-crowned,,,
Yellow-eared,,,
Yellow-eyed,,,
Yellow-faced,,,
Yellow-footed,,,
Yellow-fronted,,,
Yellow-green,,,
Yellow-headed,,,
Yellow-hooded,,,
Yellow-legged,,,
Yellow-margined,,,
Yellow-necked,,,
Yellow-olive,,,
Yellow-plumed,,,
Yellow-rumped,,,
Yellow-shouldered,,,
Yellow-spotted,,,
Yellow-tailed,,,
Yellow-throated,,,
Yellow-tufted,,,
Yellow-vented,,,
Yellow-wattled,,,
Yellow-whiskered,,,
Yellow-winged,,,
Yellowish,,,
Yellowish-bellied,,,
Yucatan,,,
Yungas,,,
Zealand,,,
Zebra,,,
Zenaida,,,
Zitting,,,
Zone-tailed,,,
